yearID,name,wins_over_losses,runs_over_league_avg,BA,SLG,OBP,OPS
1960,Pittsburgh Pirates,1.6102,1.1013,0.2762,0.4071,0.335879158,0.743019372
1960,San Francisco Giants,1.0533,1.0068,0.2549,0.3927,0.314971508,0.70772132
1960,St. Louis Cardinals,1.2647,0.9587,0.2539,0.3933,0.319620253,0.712911172
1960,Washington Senators,0.9012,1.0083,0.2445,0.384,0.320130316,0.704086108
1961,Baltimore Orioles,1.4179,0.9611,0.2542,0.3903,0.325635104,0.715892356
1961,Boston Red Sox,0.8837,1.0139,0.2544,0.3744,0.332737612,0.707102172
1961,Chicago White Sox,1.1316,1.064,0.2655,0.3954,0.331641009,0.727069374
1961,Chicago Cubs,0.7111,0.9583,0.2552,0.4177,0.323474418,0.741139088
1961,Cincinnati Reds,1.5246,0.9875,0.2697,0.4206,0.324214613,0.74477536
1961,Cleveland Indians,0.9398,1.025,0.2662,0.4061,0.325356499,0.731489499
1961,Detroit Tigers,1.6557,1.1697,0.2663,0.4211,0.345524543,0.766671818
1961,Kansas City Athletics,0.61,0.9499,0.2475,0.3544,0.320173247,0.674589621
1961,Los Angeles Angels,0.7692,1.0348,0.2454,0.3982,0.32956593,0.727796018
1961,Los Angeles Dodgers,1.3692,1.0223,0.2617,0.4051,0.337770095,0.74285778
1961,Minnesota Twins,0.7778,0.9833,0.2498,0.3967,0.324243432,0.72095748
1961,Milwaukee Braves,1.169,0.9903,0.2581,0.4153,0.326176572,0.74145645
1961,New York Yankees,2.0566,1.1502,0.2628,0.4416,0.328416912,0.770043103
1961,Philadelphia Phillies,0.4393,0.8122,0.2427,0.3566,0.305907173,0.662515651
1961,Pittsburgh Pirates,0.9494,0.9652,0.2726,0.4101,0.326886217,0.736978478
1961,San Francisco Giants,1.2319,1.0751,0.2635,0.4225,0.328454435,0.750965422
1961,St. Louis Cardinals,1.0811,0.9777,0.2706,0.3925,0.332701258,0.725201729
1961,Washington Senators,0.61,0.8595,0.2436,0.3669,0.314821067,0.681761059
1962,Baltimore Orioles,0.9059,0.9017,0.2482,0.3868,0.312801731,0.699616518
1962,Boston Red Sox,0.9048,0.9778,0.2584,0.4033,0.322708505,0.725963477
1962,Chicago White Sox,1.1039,0.9778,0.2566,0.3723,0.331757418,0.704082408
1962,Chicago Cubs,0.5728,0.8741,0.2526,0.3766,0.315004969,0.691586103
1962,Cincinnati Reds,1.5313,1.1092,0.2698,0.4174,0.328992349,0.746352845
1962,Cleveland Indians,0.9756,0.9432,0.2445,0.3879,0.307885065,0.695740644
1962,Detroit Tigers,1.1184,1.0483,0.2478,0.4109,0.32798428,0.738908033
1962,Houston Colt .45's,0.6667,0.8188,0.2465,0.3507,0.307882995,0.658548702
1962,Kansas City Athletics,0.8,1.0304,0.2631,0.3858,0.329908676,0.715669077
1962,Los Angeles Angels,1.1316,0.993,0.2504,0.3801,0.324373054,0.704442157
1962,Los Angeles Dodgers,1.619,1.1645,0.2683,0.4001,0.335806452,0.735948598
1962,Minnesota Twins,1.2817,1.1037,0.2598,0.4123,0.337198068,0.749533978
1962,Milwaukee Braves,1.1316,1.0096,0.2521,0.4029,0.324060275,0.726955108
1962,New York Yankees,1.4545,1.1299,0.2674,0.4259,0.336062942,0.762001992
1962,New York Mets,0.3333,0.8533,0.24,0.3607,0.316633923,0.677340405
1962,Philadelphia Phillies,1.0125,0.975,0.2601,0.3899,0.32616367,0.716016068
1962,Pittsburgh Pirates,1.3676,0.9764,0.2677,0.3943,0.321217244,0.715526928
1962,San Francisco Giants,1.6613,1.2143,0.2777,0.4408,0.339551628,0.780317554
1962,St. Louis Cardinals,1.0769,1.0705,0.2708,0.3938,0.33176356,0.725525743
1962,Washington Senators,0.5941,0.8284,0.2498,0.3735,0.308571429,0.682021465
1963,Baltimore Orioles,1.1316,1.0078,0.2494,0.3796,0.308940341,0.68852918
1963,Boston Red Sox,0.8941,1.0423,0.2517,0.4002,0.310413223,0.710592595
1963,Chicago White Sox,1.3824,1.0689,0.2504,0.3647,0.320776443,0.685518636
1963,Chicago Cubs,1.025,0.892,0.238,0.3627,0.295225056,0.657919356
1963,Cincinnati Reds,1.1316,1.0141,0.2461,0.3715,0.306791171,0.678283046
1963,Cleveland Indians,0.9518,0.9937,0.2391,0.3808,0.29891031,0.679732726
1963,Detroit Tigers,0.9518,1.0955,0.2524,0.3816,0.325016415,0.706652778
1963,Houston Colt .45's,0.6875,0.7261,0.2199,0.3005,0.280821918,0.581341977
1963,Kansas City Athletics,0.8202,0.9624,0.2468,0.3534,0.312915007,0.666327199
1963,Los Angeles Angels,0.7692,0.9343,0.2503,0.3536,0.306684582,0.660298821
1963,Los Angeles Dodgers,1.5714,1.0016,0.2507,0.3569,0.308450944,0.665304296
1963,Minnesota Twins,1.3,1.2003,0.2546,0.4296,0.321651859,0.751230597
1963,Milwaukee Braves,1.0769,1.0595,0.2437,0.3704,0.309448949,0.679873015
1963,New York Yankees,1.8246,1.1174,0.2519,0.4028,0.306565657,0.709398929
1963,New York Mets,0.4595,0.784,0.2189,0.3152,0.280510962,0.595728353
1963,Philadelphia Phillies,1.16,1.0047,0.2516,0.3809,0.302513919,0.683397336
1963,Pittsburgh Pirates,0.8409,0.8873,0.2502,0.3591,0.307011686,0.666115732
1963,San Francisco Giants,1.1892,1.1346,0.2585,0.4139,0.312790698,0.726664152
1963,St. Louis Cardinals,1.3478,1.169,0.2712,0.4028,0.325619296,0.728401965
1963,Washington Senators,0.5283,0.9045,0.2271,0.3509,0.291771832,0.642671574
1964,Baltimore Orioles,1.4923,1.0347,0.2484,0.3866,0.315666667,0.702267435
1964,Boston Red Sox,0.8,1.0485,0.2585,0.4161,0.320591657,0.736699039
1964,Chicago White Sox,1.5313,0.9784,0.2469,0.3529,0.316867669,0.669808845
1964,Chicago Cubs,0.8837,0.989,0.2509,0.3904,0.312706817,0.703148656
1964,Cincinnati Reds,1.3143,1.0058,0.2487,0.3721,0.305749418,0.677804803
1964,Cleveland Indians,0.9518,1.05,0.2474,0.3802,0.309028347,0.689181836
1964,Detroit Tigers,1.1039,1.0652,0.2529,0.3951,0.316915423,0.71198163
1964,Houston Colt .45's,0.6875,0.7543,0.2289,0.3145,0.280612245,0.595151185
1964,Kansas City Athletics,0.5429,0.9464,0.2391,0.3789,0.307806324,0.686698431
1964,Los Angeles Angels,1.025,0.829,0.2419,0.3437,0.303222489,0.64693752
1964,Los Angeles Dodgers,0.9756,0.9357,0.25,0.3401,0.305373084,0.645434913
1964,Minnesota Twins,0.9518,1.1231,0.2519,0.4269,0.319000487,0.745916708
1964,Milwaukee Braves,1.1892,1.2237,0.2722,0.418,0.330426197,0.7484194
1964,New York Yankees,1.5714,1.1125,0.2528,0.3867,0.315180723,0.701859075
1964,New York Mets,0.4862,0.8671,0.2465,0.3482,0.291434364,0.639619775
1964,Philadelphia Phillies,1.3143,1.0561,0.2576,0.391,0.312658014,0.703701159
1964,Pittsburgh Pirates,0.9756,1.0104,0.2639,0.389,0.314194844,0.703163582
1964,San Francisco Giants,1.25,0.9997,0.2457,0.3823,0.308774834,0.691069323
1964,St. Louis Cardinals,1.3478,1.0896,0.2722,0.3918,0.323529412,0.715351634
1964,Washington Senators,0.62,0.8808,0.2309,0.3477,0.297800338,0.645465274
1965,Baltimore Orioles,1.3824,0.9903,0.2383,0.3628,0.305736745,0.668489038
1965,Boston Red Sox,0.62,1.0335,0.2511,0.4004,0.325730226,0.726131173
1965,California Angels,0.8621,0.8142,0.2389,0.3412,0.297050198,0.638290392
1965,Chicago White Sox,1.4179,0.9995,0.2458,0.3639,0.312313803,0.676263703
1965,Chicago Cubs,0.8,0.981,0.2375,0.3585,0.304347826,0.66283158
1965,Cincinnati Reds,1.2192,1.2745,0.2729,0.4388,0.336023241,0.77487089
1965,Cleveland Indians,1.16,1.0243,0.25,0.3794,0.313472803,0.692884029
1965,Detroit Tigers,1.2192,1.0505,0.2381,0.3741,0.309354948,0.683423502
1965,Houston Astros,0.6701,0.879,0.2369,0.3396,0.300918964,0.640514076
1965,Kansas City Athletics,0.5728,0.9038,0.2399,0.3575,0.306898884,0.664399347
1965,Los Angeles Dodgers,1.4923,0.9393,0.245,0.3355,0.307757309,0.643241179
1965,Minnesota Twins,1.7,1.1957,0.2544,0.3985,0.322740814,0.721246644
1965,Milwaukee Braves,1.1316,1.0938,0.256,0.4161,0.307058824,0.723154096
1965,New York Yankees,0.9059,0.9439,0.2351,0.364,0.29786877,0.661854144
1965,New York Mets,0.4464,0.7647,0.2209,0.3271,0.273272758,0.600418503
1965,Philadelphia Phillies,1.1184,1.0104,0.2496,0.384,0.311192295,0.695237157
1965,Pittsburgh Pirates,1.25,1.0428,0.2649,0.3816,0.315315315,0.696954428
1965,San Francisco Giants,1.4179,1.0536,0.2519,0.3851,0.31150561,0.696582953
1965,St. Louis Cardinals,0.9877,1.0922,0.2536,0.3707,0.312417437,0.683093185
1965,Washington Senators,0.7609,0.913,0.2283,0.3498,0.302321669,0.652154195
1966,Atlanta Braves,1.1039,1.2124,0.2628,0.4239,0.324359602,0.748251359
1966,Baltimore Orioles,1.5397,1.1705,0.2579,0.4095,0.3210326,0.730509901
1966,Boston Red Sox,0.8,1.0155,0.2397,0.3763,0.30794702,0.684265681
1966,California Angels,0.9756,0.9364,0.2321,0.3539,0.300594732,0.654512642
1966,Chicago White Sox,1.0506,0.8899,0.2309,0.3308,0.293784341,0.624562201
1966,Chicago Cubs,0.5728,0.9984,0.2536,0.3804,0.30996859,0.690333396
1966,Cincinnati Reds,0.9048,1.0729,0.2597,0.3947,0.309044801,0.703719678
1966,Cleveland Indians,1,0.8899,0.2375,0.3601,0.295408508,0.655474273
1966,Detroit Tigers,1.1892,1.1147,0.2511,0.4057,0.319247276,0.724912792
1966,Houston Astros,0.8,0.9488,0.2549,0.3655,0.315894702,0.681345618
1966,Kansas City Athletics,0.8605,0.8744,0.2363,0.3365,0.292224735,0.628748759
1966,Los Angeles Dodgers,1.4179,0.9395,0.2557,0.3615,0.309947467,0.671490146
1966,Minnesota Twins,1.2192,1.0279,0.2488,0.3818,0.314077588,0.695895769
1966,New York Yankees,0.7865,0.9473,0.2353,0.3741,0.29905417,0.673162988
1966,New York Mets,0.6947,0.9101,0.2394,0.342,0.29774798,0.639769949
1966,Philadelphia Phillies,1.16,1.0791,0.2582,0.3783,0.320091548,0.698368701
1966,Pittsburgh Pirates,1.3143,1.1767,0.2794,0.4281,0.327413254,0.755531647
1966,San Francisco Giants,1.3676,1.0465,0.2479,0.3923,0.300184781,0.692493862
1966,St. Louis Cardinals,1.0506,0.8853,0.2513,0.3684,0.295622318,0.664052974
1966,Washington Senators,0.8068,0.8636,0.2341,0.355,0.293862691,0.648883375
1967,Atlanta Braves,0.9059,1.0336,0.2398,0.3725,0.30509896,0.677576024
1967,Baltimore Orioles,0.8941,1.0713,0.2405,0.3719,0.30783364,0.679717804
1967,Boston Red Sox,1.3143,1.1826,0.2548,0.3952,0.319706324,0.71488088
1967,California Angels,1.0909,0.9287,0.2384,0.3488,0.298263889,0.647048513
1967,Chicago White Sox,1.2192,0.8698,0.2246,0.3205,0.288077776,0.608531054
1967,Chicago Cubs,1.1757,1.1499,0.2513,0.3782,0.315137307,0.693317793
1967,Cincinnati Reds,1.16,0.9894,0.2475,0.3718,0.295026311,0.666832797
1967,Cleveland Indians,0.8621,0.9156,0.2348,0.3585,0.288559755,0.647102146
1967,Detroit Tigers,1.2817,1.1188,0.2431,0.3762,0.321570577,0.697725845
1967,Houston Astros,0.7419,1.0254,0.2492,0.3636,0.315902697,0.679506038
1967,Kansas City Athletics,0.6263,0.8731,0.2326,0.3296,0.292363386,0.621957702
1967,Los Angeles Dodgers,0.8202,0.8501,0.2355,0.3317,0.297929641,0.629674509
1967,Minnesota Twins,1.2817,1.0991,0.2398,0.369,0.305025126,0.674024759
1967,New York Yankees,0.8,0.855,0.2251,0.3169,0.294058577,0.610979392
1967,New York Mets,0.604,0.8157,0.2378,0.3251,0.285516525,0.610604211
1967,Philadelphia Phillies,1.025,1.0025,0.2418,0.3573,0.311301715,0.668642948
1967,Pittsburgh Pirates,1,1.1122,0.2769,0.38,0.322696776,0.702675811
1967,San Francisco Giants,1.2817,1.068,0.2451,0.3717,0.310059563,0.68171054
1967,St. Louis Cardinals,1.6833,1.1384,0.2627,0.3794,0.317024463,0.696471103
1967,Washington Senators,0.8941,0.9009,0.2226,0.326,0.284627093,0.610670099
1968,Atlanta Braves,1,0.9254,0.252,0.3386,0.303888703,0.642505417
1968,Baltimore Orioles,1.2817,1.0424,0.225,0.352,0.300598802,0.652636716
1968,Boston Red Sox,1.1316,1.1054,0.2363,0.3524,0.311809686,0.664251699
1968,California Angels,0.7053,0.8966,0.2268,0.3178,0.286604361,0.604368382
1968,Chicago White Sox,0.7053,0.8336,0.2281,0.311,0.280937608,0.591945933
1968,Chicago Cubs,1.0769,1.1018,0.2417,0.3661,0.295249447,0.661317603
1968,Cincinnati Reds,1.0506,1.2422,0.2728,0.3891,0.317604946,0.706715402
1968,Cleveland Indians,1.1467,0.929,0.2338,0.3274,0.289748417,0.617111784
1968,Detroit Tigers,1.7458,1.208,0.2353,0.3852,0.301613708,0.686859609
1968,Houston Astros,0.8,0.9182,0.2311,0.3171,0.294411006,0.61150246
1968,Los Angeles Dodgers,0.8837,0.8462,0.2305,0.3192,0.288796824,0.607997421
1968,Minnesota Twins,0.9518,1.0118,0.2371,0.3495,0.295462358,0.644987762
1968,New York Yankees,1.0506,0.965,0.2141,0.3175,0.289823009,0.607337133
1968,New York Mets,0.8202,0.8516,0.2275,0.3149,0.277286637,0.592205772
1968,Oakland Athletics,1.025,1.0244,0.2405,0.343,0.301463083,0.644415358
1968,Philadelphia Phillies,0.8837,0.9776,0.2332,0.3334,0.293966404,0.627361787
1968,Pittsburgh Pirates,0.9756,1.0496,0.2521,0.3433,0.304790519,0.648119662
1968,San Francisco Giants,1.1892,1.0784,0.2391,0.3406,0.30408472,0.644647116
